주문일시,강원도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,인천광역시,전라남도,전라북도,제주특별자치도,충청남도,충청북도,
2020-01-19,비,비,구름,구름,비,구름,비,구름,비,구름,비,구름,비,비,구름,눈,
2020-01-20,맑음,비,맑음,맑음,구름,구름,맑음,맑음,맑음,구름,맑음,맑음,맑음,구름,눈,구름,
2020-01-21,맑음,구름,맑음,맑음,맑음,맑음,비,맑음,구름,구름,구름,맑음,비,비,구름,구름,
2020-01-22,눈,눈,비,비,비,비,비,비,구름,비,눈,비,비,비,눈,비,
2020-01-23,구름,구름,비,비,비,비,비,비,구름,구름,구름,비,구름,비,구름,구름,
2020-01-24,비,구름,구름,비,구름,구름,구름,구름,구름,구름,구름,구름,구름,흐림,구름,구름,
2020-01-25,구름,구름,흐림,흐림,흐림,흐림,구름,비,구름,구름,구름,비,흐림,비,구름,구름,
2020-01-26,비,구름,비,비,비,비,흐림,비,구름,구름,구름,비,흐림,비,흐림,구름,
2020-01-27,비,비,비,비,비,비,비,비,비,비,비,비,비,비,비,비,
2020-01-28,비,비,비,비,비,비,비,비,비,구름,비,구름,비,비,비,비,
2020-01-29,비,구름,비,흐림,비,비,흐림,비,구름,구름,구름,비,비,비,비,구름,
2020-01-30,비,구름,비,비,구름,비,구름,비,구름,구름,구름,비,비,비,구름,구름,
2020-01-31,비,구름,구름,비,비,비,구름,구름,비,구름,구름,맑음,구름,비,구름,구름,
,,,,,,,,,,,,,,,,,
2020-02-01,맑음,구름,맑음,맑음,구름,맑음,구름,맑음,구름,구름,구름,맑음,구름,구름,구름,구름,
2020-02-02,구름,구름,맑음,구름,구름,구름,구름,맑음,눈,구름,눈,맑음,구름,구름,눈,구름,
2020-02-03,맑음,맑음,맑음,맑음,눈,맑음,구름,맑음,눈,구름,눈,맑음,눈,비,눈,눈,
2020-02-04,눈,눈,맑음,맑음,눈,맑음,눈,맑음,눈,비,눈,맑음,눈,맑음,눈,눈,
2020-02-05,맑음,맑음,맑음,맑음,눈,맑음,눈,맑음,맑음,구름,맑음,맑음,비,비,맑음,맑음,
2020-02-06,구름,맑음,구름,구름,구름,구름,구름,구름,맑음,구름,맑음,구름,구름,구름,구름,맑음,
2020-02-07,맑음,구름,구름,구름,구름,구름,구름,구름,눈,구름,눈,구름,구름,흐림,눈,구름,
2020-02-08,눈,맑음,맑음,맑음,구름,구름,구름,맑음,눈,구름,눈,맑음,눈,비,맑음,눈,
2020-02-09,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,눈,구름,구름,맑음,맑음,비,맑음,맑음,
2020-02-10,맑음,맑음,맑음,맑음,구름,맑음,맑음,맑음,눈,구름,눈,맑음,눈,구름,맑음,맑음,
2020-02-11,구름,구름,구름,구름,비,구름,비,구름,맑음,구름,비,비,비,비,비,구름,
2020-02-12,비,비,비,비,비,구름,비,비,비,비,비,비,비,비,비,비,
2020-02-13,맑음,흐림,구름,구름,비,비,비,구름,흐림,구름,흐림,구름,비,구름,비,비,
2020-02-14,구름,구름,구름,구름,구름,구름,구름,구름,맑음,구름,맑음,구름,구름,구름,구름,구름,
2020-02-15,비,비,구름,구름,구름,비,비,구름,비,비,비,비,비,비,비,비,
2020-02-16,비,비,비,비,비,비,비,비,비,비,비,비,비,비,비,비,
2020-02-17,눈,눈,비,눈,눈,눈,눈,맑음,눈,비,눈,맑음,눈,눈,눈,눈,
2020-02-18,맑음,맑음,맑음,맑음,눈,맑음,눈,맑음,맑음,비,맑음,구름,눈,눈,눈,눈,
2020-02-19,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,맑음,구름,구름,구름,구름,
2020-02-20,맑음,구름,비,맑음,맑음,맑음,맑음,맑음,구름,구름,맑음,비,맑음,맑음,구름,구름,
2020-02-21,비,비,비,비,비,비,비,비,비,비,비,비,비,비,비,비,
2020-02-22,비,비,맑음,비,비,비,비,비,비,비,비,맑음,비,비,비,비,
2020-02-23,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,구름,맑음,비,맑음,맑음,맑음,맑음,
2020-02-24,비,구름,비,구름,비,비,비,비,구름,비,비,비,비,구름,비,비,
2020-02-25,비,비,비,비,비,비,비,비,비,비,비,비,비,비,비,비,
2020-02-26,비,구름,비,비,비,비,맑음,비,비,구름,구름,비,구름,비,구름,구름,
2020-02-27,비,구름,비,비,구름,비,구름,비,구름,구름,맑음,구름,구름,구름,구름,구름,
2020-02-28,비,비,비,비,비,비,비,비,비,비,비,비,비,비,비,비,
2020-02-29,비,구름,구름,구름,비,구름,구름,비,비,구름,비,비,비,비,비,구름,
,,,,,,,,,,,,,,,,,
2020-03-01,비,비,비,구름,비,구름,구름,구름,비,구름,비,비,구름,비,구름,구름,
2020-03-02,비,비,구름,구름,구름,구름,구름,구름,비,구름,맑음,구름,구름,비,구름,구름,
2020-03-03,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,흐림,구름,비,구름,구름,
2020-03-04,구름,비,비,구름,눈,눈,비,구름,비,구름,비,비,비,구름,눈,눈,
2020-03-05,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,눈,맑음,구름,맑음,맑음,
2020-03-06,맑음,구름,맑음,맑음,맑음,맑음,구름,맑음,구름,구름,구름,맑음,구름,구름,구름,구름,
2020-03-07,비,구름,비,비,비,비,비,비,구름,구름,구름,비,비,비,비,비,
2020-03-08,맑음,맑음,맑음,구름,구름,구름,맑음,맑음,맑음,맑음,맑음,맑음,구름,맑음,맑음,맑음,
2020-03-09,비,맑음,비,비,비,비,비,비,비,비,비,비,비,비,비,비,
2020-03-10,비,구름,비,비,비,비,비,비,비,비,비,비,비,비,비,비,
2020-03-11,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,구름,맑음,맑음,맑음,맑음,맑음,맑음,
2020-03-12,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,구름,맑음,구름,맑음,맑음,구름,맑음,맑음,
2020-03-13,구름,구름,구름,구름,구름,구름,구름,구름,비,구름,비,구름,비,구름,구름,구름,
2020-03-14,비,맑음,구름,구름,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,구름,맑음,
2020-03-15,비,구름,맑음,맑음,눈,눈,비,비,구름,구름,구름,구름,눈,맑음,눈,눈,
2020-03-16,비,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,구름,맑음,맑음,맑음,구름,맑음,맑음,
2020-03-17,비,구름,맑음,맑음,맑음,맑음,구름,맑음,구름,구름,구름,맑음,구름,맑음,구름,구름,
2020-03-18,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,
2020-03-19,비,맑음,맑음,맑음,맑음,맑음,구름,맑음,비,구름,구름,맑음,구름,맑음,구름,구름,
2020-03-20,구름,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,
2020-03-21,비,구름,맑음,맑음,맑음,맑음,맑음,맑음,구름,구름,구름,맑음,맑음,구름,구름,맑음,
2020-03-22,맑음,맑음,구름,구름,구름,맑음,맑음,구름,맑음,맑음,맑음,구름,맑음,비,맑음,맑음,
